"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"c77e1634","Mezclas","2025-11-03 08:09:00","SALIDAS","$0.00","$0.00",NULL,NULL
"c7f0e265","Mezclas","2025-01-25 14:29:00","SALIDAS","$0.00","$0.00",NULL,NULL
"cbc44f1e","Mezclas","2025-12-24 16:43:00","SALIDAS","$0.00","$0.00",NULL,NULL
"cc23e479","Mezclas","2025-06-02 13:11:00","SALIDAS","$0.00","$0.00",NULL,NULL
"ce888f99","Mezclas","2024-11-20 15:35:00","SALIDAS","$0.00","$0.00",NULL,NULL
"ced0d1b8","Mezclas","2024-12-24 14:52:00","SALIDAS","$0.00","$0.00",NULL,NULL
"cee7a1f0","Mezclas","2024-11-07 14:32:00","SALIDAS","$0.00","$0.00",NULL,NULL
"cf012397","Cintas y nanos","2026-01-07 15:48:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"cf06495c","Oka loca y anaiconda","2025-01-18 08:54:00","ENTRADAS","$610,792.00","$200.00",NULL,NULL
"d0d6edf3","Mezclas","2025-06-11 15:23:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d1a5375b","Mezclas","2025-06-05 16:16:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d25a7977","Cintas y bolipop","2025-07-31 14:22:00","ENTRADAS","$129,000.00","$0.00",NULL,NULL
"d263b4b5","Vasos","2025-02-02 14:17:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"d302c193","Dulces","2025-05-31 09:44:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"d3606067","Mezclas","2025-09-28 13:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d3a820e3","Mezclas","2025-04-26 14:19:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d3b7664f","Gomas","2024-12-28 09:21:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"d44c34f0","Mezclas","2025-02-28 14:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d475a6ee","Vasos y aros","2025-06-04 15:51:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"d60cee04","Mezclas","2025-06-21 14:31:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d6a51468","Mezclas","2025-11-28 15:33:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d738c349","Vasos","2024-12-23 16:05:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"d7c90af8","Mezclas","2025-09-27 12:28:00","SALIDAS","$0.00","$0.00",NULL,NULL
"d8e6e7bd","INSUMOS","2025-12-11 16:53:00","ENTRADAS","$8,953,560.00","$622,440.00",NULL,NULL
